-- Install configuration: "release"
-- Execute custom install script
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//launch/robot_description_launch.py
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//params/robot_description.yaml
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/industrial_camera/meshes/industrial_camera.dae
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/industrial_camera/model.config
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/industrial_camera/model.sdf
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/industrial_camera/model.sdf.xmacro
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/mid360/meshes/mid360.dae
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/mid360/model.config
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/mid360/model.sdf
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/mid360/model.sdf.xmacro
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/rplidar_a2/meshes/rplidar_a2.dae
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/rplidar_a2/model.config
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/rplidar_a2/model.sdf
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/models/rplidar_a2/model.sdf.xmacro
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/xmacro/pb2025_infantry_robot.sdf.xmacro
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/xmacro/pb2025_sentry_robot.sdf.xmacro
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//resource/xmacro/simulation_robot.sdf.xmacro
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description//rviz/visualize_robot.rviz
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/environment/gazebo.dsv
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/ament_index/resource_index/package_run_dependencies/pb2025_robot_description
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/ament_index/resource_index/parent_prefix_path/pb2025_robot_description
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/environment/ament_prefix_path.sh
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/environment/ament_prefix_path.dsv
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/environment/path.sh
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/environment/path.dsv
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/local_setup.bash
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/local_setup.sh
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/local_setup.zsh
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/local_setup.dsv
-- Symlinking: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/package.dsv
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/ament_index/resource_index/packages/pb2025_robot_description
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/cmake/pb2025_robot_descriptionConfig.cmake
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/cmake/pb2025_robot_descriptionConfig-version.cmake
-- Up-to-date symlink: /home/nexium/ros_ws/install/pb2025_robot_description/share/pb2025_robot_description/package.xml
